scale;predictor;year;group;AIC_linear;BIC_linear;sig_linear;AIC_quad;BIC_quad;sig_quad;delta_AIC;delta_BIC;model_decision
beta;tmean;mean;macro;309.23;317.11;*;309.22;319.72;*;0.01;-2.61;linear
beta;tmean;2016;wc;275.68;283.55;ns;255.74;266.24;***;19.94;17.31;quadratic
beta;tmean;2016;bact;298.83;306.71;*;284.66;295.16;***;14.17;11.55;quadratic
beta;tmean;2016;phyto;496.83;504.71;ns;491.94;502.44;*;4.89;2.27;quadratic
beta;tmean;2016;zoo;356.38;364.25;*;357.5;368;ns;-1.12;-3.75;linear
beta;tmean;2016;macro;407.02;414.9;*;401.49;411.99;***;5.53;2.9;quadratic
beta;tmean;2017;wc;378.28;386.16;ns;371.93;382.43;**;6.35;3.73;quadratic
beta;tmean;2017;bact;521.07;528.95;***;505.35;515.85;***;15.72;13.1;quadratic
beta;tmean;2017;phyto;510.56;518.43;ns;511.03;521.53;ns;-0.47;-3.1;none
beta;tmean;2017;zoo;370.92;378.79;ns;372.11;382.61;ns;-1.19;-3.82;none
beta;tmean;2017;macro;479.78;487.65;ns;481.66;492.16;ns;-1.88;-4.51;none
beta;tmean;2018;wc;351.8;359.67;ns;353.26;363.76;ns;-1.46;-4.08;none
beta;tmean;2018;bact;440.14;448.01;ns;442.14;452.64;ns;-2;-4.62;none
beta;tmean;2018;phyto;508.86;516.74;ns;509.62;520.12;ns;-0.76;-3.38;none
beta;tmean;2018;zoo;325.81;333.69;ns;318.63;329.13;**;7.18;4.55;quadratic
beta;tmean;2018;macro;464.68;472.55;ns;466.6;477.1;ns;-1.92;-4.55;none
beta;tsd;mean;wc;208.42;216.29;ns;197.1;207.6;**;11.32;8.69;quadratic
beta;tsd;mean;bact;255.99;263.86;ns;250.96;261.46;*;5.03;2.41;quadratic
beta;tsd;mean;phyto;373.26;381.13;ns;372.24;382.74;ns;1.02;-1.61;none
beta;tsd;mean;zoo;207.39;215.27;*;209.19;219.69;ns;-1.8;-4.42;linear
beta;tsd;mean;macro;306.37;314.24;**;307.89;318.39;*;-1.52;-4.14;linear
beta;tsd;2016;wc;275.59;283.47;ns;274.78;285.28;ns;0.81;-1.81;none
beta;tsd;2016;bact;304.63;312.51;ns;305.97;316.47;ns;-1.34;-3.97;none
beta;tsd;2016;phyto;496.75;504.62;ns;498.71;509.21;ns;-1.96;-4.59;none
beta;tsd;2016;zoo;360.91;368.79;ns;361.75;372.25;ns;-0.84;-3.47;none
beta;tsd;2016;macro;412.63;420.51;ns;413.45;423.95;ns;-0.82;-3.45;none
beta;tsd;2017;wc;379.53;387.41;ns;381.03;391.53;ns;-1.5;-4.13;none
beta;tsd;2017;bact;542.86;550.74;ns;542.83;553.33;ns;0.03;-2.59;none
beta;tsd;2017;phyto;506.55;514.42;*;499.51;510.01;**;7.04;4.41;quadratic
beta;tsd;2017;zoo;366.16;374.03;*;366.3;376.8;*;-0.14;-2.77;linear
beta;tsd;2017;macro;475.05;482.93;*;468.99;479.49;**;6.06;3.44;quadratic
beta;tsd;2018;wc;351.76;359.64;ns;353.46;363.96;ns;-1.7;-4.32;none
beta;tsd;2018;bact;440.01;447.88;ns;441.67;452.17;ns;-1.66;-4.29;none
beta;tsd;2018;phyto;510.99;518.86;ns;512.81;523.31;ns;-1.82;-4.44;none
beta;tsd;2018;zoo;326.23;334.1;ns;320.49;330.99;*;5.74;3.11;quadratic
beta;tsd;2018;macro;465.55;473.42;ns;467.01;477.51;ns;-1.46;-4.09;none
