"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"qd_gamma_bact_2016_tmean","qd","gamma","bact","2016","tmean",0.5,0.49,36.75,49.48,0,2,-510.83,1029.67,1040.17,133712.57,99,102,"***"
"qd_gamma_bact_2016_tsd","qd","gamma","bact","2016","tsd",0.11,0.09,49.12,5.91,0,2,-540.42,1088.84,1099.34,238848.19,99,102,"**"
"qd_gamma_bact_2017_tmean","qd","gamma","bact","2017","tmean",0.33,0.32,42.45,24.68,0,2,-525.54,1059.08,1069.58,178402.54,99,102,"***"
"qd_gamma_bact_2017_tsd","qd","gamma","bact","2017","tsd",0.98,0.98,7.16,2560.56,0,2,-343.95,695.9,706.4,5070.58,99,102,"***"
"qd_gamma_bact_2018_tmean","qd","gamma","bact","2018","tmean",0.41,0.4,39.93,34.36,0,2,-519.28,1046.57,1057.07,157810.96,99,102,"***"
"qd_gamma_bact_2018_tsd","qd","gamma","bact","2018","tsd",0.33,0.32,42.52,24.43,0,2,-525.72,1059.44,1069.93,179025.27,99,102,"***"
"qd_gamma_bact_mean_tmean","qd","gamma","bact","mean","tmean",0.42,0.41,39.43,36.47,0,2,-518.02,1044.04,1054.54,153946.71,99,102,"***"
"qd_gamma_bact_mean_tsd","qd","gamma","bact","mean","tsd",0.53,0.52,35.49,56.65,0,2,-507.27,1022.54,1033.04,124683.1,99,102,"***"
"qd_gamma_macro_2016_tmean","qd","gamma","macro","2016","tmean",0.16,0.14,9.53,9.21,0,2,-373.16,754.33,764.83,8991.51,99,102,"***"
"qd_gamma_macro_2016_tsd","qd","gamma","macro","2016","tsd",0.6,0.6,6.54,75.27,0,2,-334.72,677.44,687.94,4230.97,99,102,"***"
"qd_gamma_macro_2017_tmean","qd","gamma","macro","2017","tmean",0.29,0.27,8.76,20,0,2,-364.56,737.11,747.61,7595.18,99,102,"***"
"qd_gamma_macro_2017_tsd","qd","gamma","macro","2017","tsd",0.48,0.47,7.49,45.49,0,2,-348.63,705.25,715.75,5557.57,99,102,"***"
"qd_gamma_macro_2018_tmean","qd","gamma","macro","2018","tmean",0.07,0.05,10.02,3.6,0.03,2,-378.29,764.58,775.08,9941.87,99,102,"*"
"qd_gamma_macro_2018_tsd","qd","gamma","macro","2018","tsd",0.71,0.7,5.6,120.4,0,2,-318.97,645.95,656.45,3107.21,99,102,"***"
"qd_gamma_macro_mean_tmean","qd","gamma","macro","mean","tmean",0.18,0.17,9.38,11.07,0,2,-371.57,751.15,761.65,8715.44,99,102,"***"
"qd_gamma_macro_mean_tsd","qd","gamma","macro","mean","tsd",0.61,0.6,6.5,76.58,0,2,-334.19,676.37,686.87,4187.16,99,102,"***"
"qd_gamma_phyto_2016_tmean","qd","gamma","phyto","2016","tmean",0.22,0.2,25.12,14,0,2,-472.02,952.04,962.54,62464.02,99,102,"***"
"qd_gamma_phyto_2016_tsd","qd","gamma","phyto","2016","tsd",0.84,0.84,11.28,265.36,0,2,-390.36,788.72,799.22,12596.94,99,102,"***"
"qd_gamma_phyto_2017_tmean","qd","gamma","phyto","2017","tmean",0.45,0.43,21.18,39.85,0,2,-454.6,917.2,927.7,44390.24,99,102,"***"
"qd_gamma_phyto_2017_tsd","qd","gamma","phyto","2017","tsd",0.47,0.46,20.67,44.32,0,2,-452.11,912.22,922.72,42277.53,99,102,"***"
"qd_gamma_phyto_2018_tmean","qd","gamma","phyto","2018","tmean",0.21,0.2,25.22,13.49,0,2,-472.42,952.85,963.35,62964.6,99,102,"***"
"qd_gamma_phyto_2018_tsd","qd","gamma","phyto","2018","tsd",0.82,0.82,11.94,231.7,0,2,-396.13,800.25,810.75,14104.93,99,102,"***"
"qd_gamma_phyto_mean_tmean","qd","gamma","phyto","mean","tmean",0.3,0.28,23.86,20.88,0,2,-466.77,941.53,952.03,56352.08,99,102,"***"
"qd_gamma_phyto_mean_tsd","qd","gamma","phyto","mean","tsd",0.67,0.66,16.43,98.93,0,2,-428.71,865.42,875.92,26721.46,99,102,"***"
"qd_gamma_wc_2016_tmean","qd","gamma","wc","2016","tmean",0.5,0.49,55.32,49.86,0,2,-552.55,1113.1,1123.6,302963.48,99,102,"***"
"qd_gamma_wc_2016_tsd","qd","gamma","wc","2016","tsd",0.43,0.42,59.07,37.64,0,2,-559.24,1126.47,1136.97,345425.69,99,102,"***"
"qd_gamma_wc_2017_tmean","qd","gamma","wc","2017","tmean",0.47,0.46,56.82,44.69,0,2,-555.27,1118.55,1129.05,319589.62,99,102,"***"
"qd_gamma_wc_2017_tsd","qd","gamma","wc","2017","tsd",0.82,0.82,33.12,227.68,0,2,-500.22,1008.45,1018.95,108599.38,99,102,"***"
"qd_gamma_wc_2018_tmean","qd","gamma","wc","2018","tmean",0.39,0.38,61.02,32.16,0,2,-562.55,1133.1,1143.6,368613.05,99,102,"***"
"qd_gamma_wc_2018_tsd","qd","gamma","wc","2018","tsd",0.7,0.7,42.85,116.12,0,2,-526.49,1060.98,1071.48,181752.17,99,102,"***"
"qd_gamma_wc_mean_tmean","qd","gamma","wc","mean","tmean",0.49,0.48,56.21,46.74,0,2,-554.17,1116.34,1126.84,312766.71,99,102,"***"
"qd_gamma_wc_mean_tsd","qd","gamma","wc","mean","tsd",0.79,0.79,35.96,185.6,0,2,-508.62,1025.24,1035.74,128036.45,99,102,"***"
"qd_gamma_zoo_2016_tmean","qd","gamma","zoo","2016","tmean",0.42,0.41,5.44,35.43,0,2,-315.91,639.82,650.32,2926.11,99,102,"***"
"qd_gamma_zoo_2016_tsd","qd","gamma","zoo","2016","tsd",0.35,0.34,5.75,26.47,0,2,-321.6,651.19,661.69,3271.25,99,102,"***"
"qd_gamma_zoo_2017_tmean","qd","gamma","zoo","2017","tmean",0.3,0.29,5.94,21.54,0,2,-325.02,658.05,668.55,3498.59,99,102,"***"
"qd_gamma_zoo_2017_tsd","qd","gamma","zoo","2017","tsd",0.33,0.32,5.82,24.59,0,2,-322.87,653.75,664.25,3354.22,99,102,"***"
"qd_gamma_zoo_2018_tmean","qd","gamma","zoo","2018","tmean",0.31,0.29,5.93,21.92,0,2,-324.75,657.49,667.99,3479.57,99,102,"***"
"qd_gamma_zoo_2018_tsd","qd","gamma","zoo","2018","tsd",0.39,0.38,5.56,31.68,0,2,-318.21,644.43,654.93,3061.25,99,102,"***"
"qd_gamma_zoo_mean_tmean","qd","gamma","zoo","mean","tmean",0.41,0.4,5.46,34.78,0,2,-316.3,640.61,651.11,2948.76,99,102,"***"
"qd_gamma_zoo_mean_tsd","qd","gamma","zoo","mean","tsd",0.3,0.29,5.95,21.32,0,2,-325.18,658.36,668.86,3509.24,99,102,"***"
