"group","scale","predictor","year","AIC_linear","BIC_linear","sig_linear","AIC_quad","BIC_quad","sig_quad","delta_AIC","delta_BIC","model_decision"
"zoo","beta","tsd","2017",366.16,374.03,"*",366.3,376.8,"*",-0.14,-2.77,"linear"
"zoo","beta","tsd","2018",326.23,334.1,"ns",320.49,330.99,"*",5.74,3.11,"quadratic"
"zoo","beta","tsd","mean",207.39,215.27,"*",209.19,219.69,"ns",-1.8,-4.42,"linear"
"zoo","gamma","tmean","2016",647.91,655.79,"ns",629.86,640.36,"***",18.05,15.43,"quadratic"
"zoo","gamma","tmean","2017",700.81,708.68,"ns",607.51,618.01,"***",93.3,90.67,"quadratic"
"zoo","gamma","tmean","2018",660.86,668.73,"*",633.03,643.53,"***",27.83,25.2,"quadratic"
"zoo","gamma","tmean","mean",657.66,665.53,"ns",619.43,629.93,"***",38.23,35.6,"quadratic"
"zoo","gamma","tsd","2016",635.49,643.36,"***",613.79,624.29,"***",21.7,19.07,"quadratic"
"zoo","gamma","tsd","2017",661.44,669.32,"***",632.74,643.24,"***",28.7,26.08,"quadratic"
"zoo","gamma","tsd","2018",586.13,594,"***",586.04,596.54,"***",0.09,-2.54,"linear"
"zoo","gamma","tsd","mean",599.95,607.83,"***",593.55,604.05,"***",6.4,3.78,"quadratic"
